DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervisor, Registration/Bureau of Vital Statistics",PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,Vital Statistics/Vital Recor
DEPT OF DESIGN & CONSTRUCTION,Internal,Safety Code Compliance Specialist,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Prog Mgmt/Sss-Qa and Cs
DEPARTMENT OF TRANSPORTATION,Internal,Computer Systems Manager (PMP),COMPUTER SYSTEMS MANAGER,M1,Above 50K,IT & Telecom
DEPARTMENT OF TRANSPORTATION,External,Computer Systems Manager (PMP),COMPUTER SYSTEMS MANAGER,M1,Above 50K,IT & Telecom
DEPT OF DESIGN & CONSTRUCTION,Internal,Project Director,ASSOCIATE PROJECT MANAGER,03,Above 50K,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,External,Project Controls Specialist,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Prog Mgmt/Pc-Cost Management
HOUSING PRESERVATION & DVLPMNT,Internal,"Project Manager, Multifamily Storm Recovery and Resiliency Program",ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Sandy Recovery
HOUSING PRESERVATION & DVLPMNT,External,"Deputy Director, Multifamily Storm Recovery and Resiliency Program",CITY PLANNER,02,Above 50K,Sandy Recovery
HOUSING PRESERVATION & DVLPMNT,Internal,"Deputy Director, Multifamily Storm Recovery and Resiliency Program",CITY PLANNER,02,Above 50K,Sandy Recovery
DEPT OF INFO TECH & TELECOMM,External,Policy Analyst,COMMUNITY ASSOCIATE,00,Below 50K,Mayor's Office of Operations
DEPT OF DESIGN & CONSTRUCTION,Internal,Project Controls Specialist,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Prog Mgmt/Pc-Cost Management
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Director of Research, Evaluation and Reporting, Health Access Equity Unit",CITY RESEARCH SCIENTIST,4A,Above 50K,Prevention and Primary Care
DEPT OF HEALTH/MENTAL HYGIENE,External,"Director of Research, Evaluation and Reporting, Health Access Equity Unit",CITY RESEARCH SCIENTIST,4A,Above 50K,Prevention and Primary Care
DEPT OF INFO TECH & TELECOMM,Internal,Policy Analyst,COMMUNITY ASSOCIATE,00,Below 50K,Mayor's Office of Operations
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Laboratory Helper, Bureau of Veterinary and Pest Control Services",LABORATORY HELPER,01,Below 50K,Vector Surveillance
DEPT OF ENVIRONMENT PROTECTION,External,Deputy Chief of Outside Development,ADMINISTRATIVE ENGINEER,M2,Above 50K,Water Emergency
DEPT OF ENVIRONMENT PROTECTION,Internal,Deputy Chief of Outside Development,ADMINISTRATIVE ENGINEER,M2,Above 50K,Water Emergency
TAXI & LIMOUSINE COMMISSION,Internal,ASP.net Programmer/Analyst,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Computer Planning/Entry
CONSUMER AFFAIRS,External,"Senior Program Officer, Entrepreneurship and Financial Empowerment",COMMUNITY COORDINATOR,00,Below 50K,OFC of Financial Empowerment
CONSUMER AFFAIRS,Internal,"Senior Program Officer, Entrepreneurship and Financial Empowerment",COMMUNITY COORDINATOR,00,Below 50K,OFC of Financial Empowerment
DEPARTMENT OF INVESTIGATION,Internal,Confidential Investigator,CONFIDENTIAL INVESTIGATOR,03,Above 50K,Default
DEPARTMENT OF INVESTIGATION,External,Confidential Investigator,CONFIDENTIAL INVESTIGATOR,03,Above 50K,Default
TAXI & LIMOUSINE COMMISSION,External,ASP.net Programmer/Analyst,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Computer Planning/Entry
DEPT OF HEALTH/MENTAL HYGIENE,External,"Laboratory Helper, Bureau of Veterinary and Pest Control Services",LABORATORY HELPER,01,Below 50K,Vector Surveillance
LAW DEPARTMENT,External,E-Discovery Analyst,COMPUTER ASSOC (OPERATIONS),01,Below 50K,E - Discovery
LAW DEPARTMENT,Internal,E-Discovery Analyst,COMPUTER ASSOC (OPERATIONS),01,Below 50K,E - Discovery
POLICE DEPARTMENT,Internal,RADIO REPAIR MECHANIC,RADIO REPAIR MECHANIC,00,Below 50K,LSSD Electronics Sec/Civ
POLICE DEPARTMENT,External,RADIO REPAIR MECHANIC,RADIO REPAIR MECHANIC,00,Below 50K,LSSD Electronics Sec/Civ
DEPT OF DESIGN & CONSTRUCTION,Internal,Executive Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,01,Below 50K,Infra-Design 2-Executive
DEPT OF DESIGN & CONSTRUCTION,External,Executive Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,01,Below 50K,Infra-Design 2-Executive
DEPARTMENT OF BUSINESS SERV.,Internal,"PROGRAM MANAGER, CAPITAL ACCESS",CONTRACT REVIEWER (OFFICE OF L,01,Below 50K,Business Operation
BUSINESS INTEGRITY COMMISSION,Internal,Investigatitve Auditor,COMMUNITY ASSOCIATE,00,Below 50K,Default
BUSINESS INTEGRITY COMMISSION,External,Investigatitve Auditor,COMMUNITY ASSOCIATE,00,Below 50K,Default
ADMIN FOR CHILDREN'S SVCS,External,QA & Test Analyst 2,COMPUTER SPECIALIST (SOFTWARE),02,Above 50K,"Mis Admin,Network Sysms Dvlpmt"
ADMIN FOR CHILDREN'S SVCS,Internal,QA & Test Analyst 2,COMPUTER SPECIALIST (SOFTWARE),02,Above 50K,"Mis Admin,Network Sysms Dvlpmt"
DEPARTMENT OF BUSINESS SERV.,External,"PROGRAM MANAGER, CAPITAL ACCESS",CONTRACT REVIEWER (OFFICE OF L,01,Below 50K,Business Operation
DEPT OF INFO TECH & TELECOMM,Internal,Cyber Threat Specialist,IT SECURITY SPECIALIST,00,Above 50K,IT Security
DEPT OF INFO TECH & TELECOMM,External,Cyber Threat Specialist,IT SECURITY SPECIALIST,00,Above 50K,IT Security
DEPARTMENT OF TRANSPORTATION,Internal,Deckhand,DECKHAND,00,Below 50K,F&Ga Deckhands-St George
ADMIN FOR CHILDREN'S SVCS,Internal,Audit Nurse,SUPERVISOR OF NURSES,01,Above 50K,Office Of Chld & Fmly Hlth-Fss
ADMIN FOR CHILDREN'S SVCS,External,Audit Nurse,SUPERVISOR OF NURSES,01,Above 50K,Office Of Chld & Fmly Hlth-Fss
DEPT OF YOUTH & COMM DEV SRVS,External,Management Auditor,MANAGEMENT AUDITOR,01,Above 50K,Contract Agency Audit
DEPT OF ENVIRONMENT PROTECTION,Internal,Watershed Maintainer,WATERSHED MAINTAINER,00,Below 50K,Sys Operations-Bx Mgmt Eng
DEPT OF ENVIRONMENT PROTECTION,External,Watershed Maintainer,WATERSHED MAINTAINER,00,Below 50K,Sys Operations-Bx Mgmt Eng
DEPT OF HEALTH/MENTAL HYGIENE,External,"Pest Control Aide, Bureau of Veterinary and Pest Control Services",CITY PEST CONTROL AIDE,00,Below 50K,Pest Control Services
DEPARTMENT OF TRANSPORTATION,External,Deckhand,DECKHAND,00,Below 50K,F&Ga Deckhands-St George
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Operations Assistant, Bureau of Mental Health",STAFF ANALYST,01,Below 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,External,"Operations Assistant, Bureau of Mental Health",STAFF ANALYST,01,Below 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Pest Control Aide, Bureau of Veterinary and Pest Control Services",CITY PEST CONTROL AIDE,00,Below 50K,Pest Control Services
DEPT OF ENVIRONMENT PROTECTION,External,Director of MS4 Permitting - Repost,ADMINISTRATIVE ENGINEER,M2,Above 50K,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,Internal,Director of MS4 Permitting - Repost,ADMINISTRATIVE ENGINEER,M2,Above 50K,Green Infrastructure
DEPT OF INFO TECH & TELECOMM,External,Customer Technology Liaison,IT PROJECT SPECIALIST,00,Above 50K,Chief Of Staff
DEPT OF INFO TECH & TELECOMM,Internal,Customer Technology Liaison,IT PROJECT SPECIALIST,00,Above 50K,Chief Of Staff
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Case Monitor Supervisor, Bureau of Mental Health",SUPERVISOR II SOCIAL WORK,00,Above 50K,MH - Assisted out Treatment
DEPT OF HEALTH/MENTAL HYGIENE,External,"Case Monitor Supervisor, Bureau of Mental Health",SUPERVISOR II SOCIAL WORK,00,Above 50K,MH - Assisted out Treatment
HOUSING PRESERVATION & DVLPMNT,Internal,Director of Disposition,CITY PLANNER,03,Above 50K,Disposition Programs
DEPT OF HEALTH/MENTAL HYGIENE,External,"Senior Epidemiologist, Bureau Systems Strengthening and Access",CITY RESEARCH SCIENTIST,4A,Above 50K,Systems Strengthening Access
DEPT OF DESIGN & CONSTRUCTION,Internal,Project Engineer  (Structural),CIVIL ENGINEER,01,Above 50K,Infra-Design 2-Executive
DEPT OF DESIGN & CONSTRUCTION,External,Project Engineer  (Structural),CIVIL ENGINEER,01,Above 50K,Infra-Design 2-Executive
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Public Health Advisor,  Bureau of School Health/SH Nursing Services & Prof Dev",PUBLIC HEALTH ADVISER (SCHOOL,01,Below 50K,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Epidemiologist, Bureau Systems Strengthening and Access",CITY RESEARCH SCIENTIST,4A,Above 50K,Systems Strengthening Access
HOUSING PRESERVATION & DVLPMNT,External,Director of Disposition,CITY PLANNER,03,Above 50K,Disposition Programs
DEPT OF ENVIRONMENT PROTECTION,External,Associate Project Manager I,ASSOCIATE PROJECT MANAGER,01,Above 50K,JOCS- IFA
DEPT OF ENVIRONMENT PROTECTION,Internal,Associate Project Manager I,ASSOCIATE PROJECT MANAGER,01,Above 50K,JOCS- IFA
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Division PS & OTPS Analyst, Division Management, Administration/EH Administration/Support",COMMUNITY COORDINATOR,00,Below 50K,EH Administration/Support
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Procurement Analyst II,PROCUREMENT ANALYST,02,Below 50K,OCME-Admin
OFFICE OF EMERGENCY MANAGEMENT,Internal,RECORDS OFFICER,EMERGENCY PREPAREDNESS SPECIAL,01,Below 50K,Executive Staff
OFFICE OF EMERGENCY MANAGEMENT,External,RECORDS OFFICER,EMERGENCY PREPAREDNESS SPECIAL,01,Below 50K,Executive Staff
DEPARTMENT OF SANITATION,External,Structural Engineer,CIVIL ENGINEER,02,Above 50K,Personnel Office
DEPT OF DESIGN & CONSTRUCTION,External,Safety Investigator,ADMINISTRATIVE PROJECT MANAGER,M1,Above 50K,Prog Mgmt/Sss-Qa and Cs
DEPT OF DESIGN & CONSTRUCTION,External,Project Director,CONSTRUCTION PROJECT MANAGER,03,Above 50K,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Internal,Safety Investigator,ADMINISTRATIVE PROJECT MANAGER,M1,Above 50K,Prog Mgmt/Sss-Qa and Cs
POLICE DEPARTMENT,Internal,PEER COUNSELOR,STAFF ANALYST,01,Below 50K,Personnel Bureau/Civ & Cad
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Health Inspector, Bureau of Environmental Disease and Injury Prevention",PUBLIC HEALTH SANITARIAN,02,Below 50K,Healthy Homes Progam
DEPT OF HEALTH/MENTAL HYGIENE,External,"Health Inspector, Bureau of Environmental Disease and Injury Prevention",PUBLIC HEALTH SANITARIAN,02,Below 50K,Healthy Homes Progam
DEPARTMENT OF SANITATION,Internal,"Clerical Associate, Level III",CLERICAL ASSOCIATE,03,Below 50K,Payrolls
DEPARTMENT OF SANITATION,External,"Clerical Associate, Level III",CLERICAL ASSOCIATE,03,Below 50K,Payrolls
DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervising Public Health Nurse, Bureau of School Health",PUBLIC HEALTH NURSE,02,Below 50K,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervising Public Health Nurse, Bureau of School Health",PUBLIC HEALTH NURSE,02,Below 50K,SH Nursing Services & Prof Dev
DEPARTMENT OF INVESTIGATION,External,Investigative Auditor,SPECIAL INVESTIGATOR,00,Below 50K,Default
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Field Supervisor, Bureau of Veterinary and Pest Control Services",SUPERVISOR (EXTERMINATORS),01,Below 50K,Pest Control Services
DEPT OF HEALTH/MENTAL HYGIENE,External,"Field Supervisor, Bureau of Veterinary and Pest Control Services",SUPERVISOR (EXTERMINATORS),01,Below 50K,Pest Control Services
ADMIN FOR CHILDREN'S SVCS,External,Psychiatric Nurse,SUPERVISOR OF NURSES,01,Above 50K,Office Of Chld & Fmly Hlth-Fss
ADMIN FOR CHILDREN'S SVCS,Internal,Psychiatric Nurse,SUPERVISOR OF NURSES,01,Above 50K,Office Of Chld & Fmly Hlth-Fss
DEPT OF HEALTH/MENTAL HYGIENE,External,"Technical Assistance Intern, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Care & Treatment",COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,HIV/AIDS Care & Treatment
ADMIN FOR CHILDREN'S SVCS,Internal,Director of Contract Management & Program Innovation,ADMINISTRATIVE DIRECTOR OF SOC,M2,Above 50K,Strategic Resource Mgt-P&P
ADMIN FOR CHILDREN'S SVCS,External,Director of Contract Management & Program Innovation,ADMINISTRATIVE DIRECTOR OF SOC,M2,Above 50K,Strategic Resource Mgt-P&P
DEPARTMENT OF TRANSPORTATION,Internal,Senior Business Analyst,COMPUTER SPECIALIST (SOFTWARE),02,Above 50K,IT & Telecom
DEPARTMENT OF TRANSPORTATION,External,Senior Business Analyst,COMPUTER SPECIALIST (SOFTWARE),02,Above 50K,IT & Telecom
DEPARTMENT OF CITY PLANNING,External,Business Improvement Analyst,ASSOCIATE STAFF ANALYST,00,Above 50K,Manhattan Office
DEPARTMENT OF CITY PLANNING,Internal,Business Improvement Analyst,ASSOCIATE STAFF ANALYST,00,Above 50K,Manhattan Office
HRA/DEPT OF SOCIAL SERVICES,Internal,"DIRECTOR OF APPLICATIONS, TESTING AND MANAGEMENT",COMPUTER SYSTEMS MANAGER,M2,Above 50K,Revenue Mgmt/Development-NM
HRA/DEPT OF SOCIAL SERVICES,External,"DIRECTOR OF APPLICATIONS, TESTING AND MANAGEMENT",COMPUTER SYSTEMS MANAGER,M2,Above 50K,Revenue Mgmt/Development-NM
DEPT OF ENVIRONMENT PROTECTION,Internal,Environmental Engineering Intern,ENVIRONMENTAL ENGINEERING INTE,00,Above 50K,JOCS- IFA
DEPARTMENT OF TRANSPORTATION,Internal,Senior Business Analyst,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,IT & Telecom
DEPARTMENT OF TRANSPORTATION,External,Senior Business Analyst,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,IT & Telecom
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"First Line Supervisor,  Bureau of STD Prevention and Control/STD Case Invstgn & Partner Srv",SUPERVISING PUBLIC HEALTH ADVI,00,Below 50K,STD Case Invstgn & Partner Srv
DEPT OF HEALTH/MENTAL HYGIENE,External,"First Line Supervisor,  Bureau of STD Prevention and Control/STD Case Invstgn & Partner Srv",SUPERVISING PUBLIC HEALTH ADVI,00,Below 50K,STD Case Invstgn & Partner Srv
DEPT OF ENVIRONMENT PROTECTION,External,Environmental Engineering Intern,ENVIRONMENTAL ENGINEERING INTE,00,Above 50K,JOCS- IFA
DEPT OF HEALTH/MENTAL HYGIENE,External,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",PUBLIC HEALTH NURSE (SCHOOL HE,01,Below 50K,SH Reproductive Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",PUBLIC HEALTH NURSE (SCHOOL HE,01,Below 50K,SH Reproductive Health
DEPARTMENT OF FINANCE,Internal,Policy Data Analyst,CITY RESEARCH SCIENTIST,02,Above 50K,Tax Policy - Assoc Comm
DEPT OF YOUTH & COMM DEV SRVS,External,Budget Review Specialist,ASSOCIATE CONTRACT SPECIALIST,00,Above 50K,Budget Review & Risk Manageme
DEPT OF YOUTH & COMM DEV SRVS,Internal,Budget Review Specialist,ASSOCIATE CONTRACT SPECIALIST,00,Above 50K,Budget Review & Risk Manageme
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Public Health Assistant, Bureau of School Health/SH Medical",PUBLIC HEALTH ASSISTANT,00,Below 50K,SH Medical
DEPARTMENT OF FINANCE,External,Policy Data Analyst,CITY RESEARCH SCIENTIST,02,Above 50K,Tax Policy - Assoc Comm
DEPT OF ENVIRONMENT PROTECTION,External,STATIONARY ENGINEER (ELECTRIC),STATIONARY ENGINEER (ELECTRIC),00,Above 50K,Douglaston Pump Station
DEPT OF ENVIRONMENT PROTECTION,Internal,STATIONARY ENGINEER (ELECTRIC),STATIONARY ENGINEER (ELECTRIC),00,Above 50K,Douglaston Pump Station
DEPT OF ENVIRONMENT PROTECTION,Internal,Project Manager Intern,PROJECT MANAGER INTERN#,00,Below 50K,Plant Construction
DEPT OF ENVIRONMENT PROTECTION,External,Project Manager Intern,PROJECT MANAGER INTERN#,00,Below 50K,Plant Construction
DEPT OF HEALTH/MENTAL HYGIENE,External,"Public Health Assistant, Bureau of School Health/SH Medical",PUBLIC HEALTH ASSISTANT,00,Below 50K,SH Medical
DEPT OF HEALTH/MENTAL HYGIENE,External,"Public Health Educator,  Bureau of School Health/SH Medical",PUBLIC HEALTH EDUCATOR,03,Above 50K,SH Medical
BUSINESS INTEGRITY COMMISSION,External,Intelligence Analyst,COMMUNITY ASSOCIATE,00,Below 50K,Default
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Public Health Educator,  Bureau of School Health/SH Medical",PUBLIC HEALTH EDUCATOR,03,Above 50K,SH Medical
DEPT OF INFO TECH & TELECOMM,Internal,IP Telephony Design Engineer,CERTIFIED IT ADMINISTRATOR (LA,04,Above 50K,IT Svcs Delivery
HRA/DEPT OF SOCIAL SERVICES,Internal,PROJECT LEADER,COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,Mgmt Information System-NM
HRA/DEPT OF SOCIAL SERVICES,External,PROJECT LEADER,COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,Mgmt Information System-NM
DEPT OF INFO TECH & TELECOMM,Internal,IT Business Analyst/UX Researcher,IT PROJECT SPECIALIST,00,Above 50K,Project Services
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,01,Below 50K,Food Safety & Community Sanit
DEPT OF HEALTH/MENTAL HYGIENE,External,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,01,Below 50K,Food Safety & Community Sanit
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Asthma Program Social Worker, Bureau of School Health/SH Medical",CONSULTANT (PUBLIC HEALTH-SOCI,00,Above 50K,SH Medical
DEPT OF HEALTH/MENTAL HYGIENE,External,"Asthma Program Social Worker, Bureau of School Health/SH Medical",CONSULTANT (PUBLIC HEALTH-SOCI,00,Above 50K,SH Medical
POLICE DEPARTMENT,Internal,"CRIMINALIST, LEVEL IB",CRIMINALIST,01,Below 50K,Police Lab/Civilian
POLICE DEPARTMENT,External,"CRIMINALIST, LEVEL IB",CRIMINALIST,01,Below 50K,Police Lab/Civilian
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Asthma Health Educator,  Bureau of School Health/SH Medical",PUBLIC HEALTH EDUCATOR,01,Below 50K,SH Medical
BUSINESS INTEGRITY COMMISSION,Internal,Intelligence Analyst,COMMUNITY ASSOCIATE,00,Below 50K,Default
DEPT OF INFO TECH & TELECOMM,Internal,Senior Application Developer,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,Enterprise APP Services
ADMIN FOR CHILDREN'S SVCS,External,Policy Writer,AGENCY ATTORNEY,01,Above 50K,Strategic Resource Mgt-P&P
ADMIN FOR CHILDREN'S SVCS,Internal,Policy Writer,AGENCY ATTORNEY,01,Above 50K,Strategic Resource Mgt-P&P
ADMIN FOR CHILDREN'S SVCS,External,Supervising Budget Analyst Early Care &Education,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Dpty Comm Fnancl Svcs-Finance
DEPT OF HEALTH/MENTAL HYGIENE,External,"Asthma Health Educator,  Bureau of School Health/SH Medical",PUBLIC HEALTH EDUCATOR,01,Below 50K,SH Medical
DEPARTMENT OF SANITATION,Internal,Auto Mechanic,AUTO MECHANIC,00,Below 50K,Motor Equipment Office
DEPARTMENT OF SANITATION,External,Auto Mechanic,AUTO MECHANIC,00,Below 50K,Motor Equipment Office
ADMIN FOR CHILDREN'S SVCS,Internal,Supervising Budget Analyst Early Care &Education,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Dpty Comm Fnancl Svcs-Finance
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Community Planner, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Care & Treatment",CITY RESEARCH SCIENTIST,02,Above 50K,HIV/AIDS Care & Treatment
DEPT OF HEALTH/MENTAL HYGIENE,External,"Community Planner, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Care & Treatment",CITY RESEARCH SCIENTIST,02,Above 50K,HIV/AIDS Care & Treatment
DEPT OF HEALTH/MENTAL HYGIENE,External,"Public Health Adviser, Bureau of School Health/SH Medical",PUBLIC HEALTH ADVISER,01,Below 50K,SH Medical
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Public Health Adviser, Bureau of School Health/SH Medical",PUBLIC HEALTH ADVISER,01,Below 50K,SH Medical
POLICE DEPARTMENT,Internal,"ADMINISTRATIVE CONTRACT SPECIALIST, M-I",ADMIN CONTRACT SPECIALIST (PYR,M1,Above 50K,Deputy Comm Mgt & Budget Civ
POLICE DEPARTMENT,External,"ADMINISTRATIVE CONTRACT SPECIALIST, M-I",ADMIN CONTRACT SPECIALIST (PYR,M1,Above 50K,Deputy Comm Mgt & Budget Civ
DEPT OF INFO TECH & TELECOMM,Internal,CRM Solutions Designer,IT PROJECT SPECIALIST,00,Above 50K,Project Services
DEPT OF INFO TECH & TELECOMM,External,CRM Solutions Designer,IT PROJECT SPECIALIST,00,Above 50K,Project Services
DEPT OF INFO TECH & TELECOMM,External,IT Business Analyst/UX Researcher,IT PROJECT SPECIALIST,00,Above 50K,Project Services
DEPT OF ENVIRONMENT PROTECTION,Internal,Retrofit Accelerator Policy Advisor,COMMUNITY COORDINATOR,00,Below 50K,NYSERDA Grant
LAW DEPARTMENT,Internal,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Above 50K,Special Federal Litigation-F
LAW DEPARTMENT,External,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Above 50K,Special Federal Litigation-F
POLICE DEPARTMENT,External,"AGENCY ATTORNEY, LEVEL III",AGENCY ATTORNEY,03,Above 50K,Legal Bureau/Civ and Cadet
DEPT OF INFO TECH & TELECOMM,External,Senior Application Developer,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,Enterprise APP Services
POLICE DEPARTMENT,Internal,"AGENCY ATTORNEY, LEVEL III",AGENCY ATTORNEY,03,Above 50K,Legal Bureau/Civ and Cadet
DEPARTMENT OF SANITATION,Internal,Administrative Engineer Level I,ADMINISTRATIVE ENGINEER,M1,Above 50K,Personnel Office
DEPARTMENT OF SANITATION,External,Administrative Engineer Level I,ADMINISTRATIVE ENGINEER,M1,Above 50K,Personnel Office
DEPT OF ENVIRONMENT PROTECTION,External,Retrofit Accelerator Policy Advisor,COMMUNITY COORDINATOR,00,Below 50K,NYSERDA Grant
POLICE DEPARTMENT,Internal,"CITY RESEARCH SCIENTIST, LEVEL II",CITY RESEARCH SCIENTIST,02,Above 50K,Office Mgmt Analysis & Plan/CV
POLICE DEPARTMENT,External,"CITY RESEARCH SCIENTIST, LEVEL II",CITY RESEARCH SCIENTIST,02,Above 50K,Office Mgmt Analysis & Plan/CV
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervisor, Cleaning Services",CUSTODIAN,02,Below 50K,OCME-Operations
POLICE DEPARTMENT,Internal,STEAMFITTER'S HELPER,STEAM FITTER'S HELPER,00,Below 50K,Building Maintenance/CIV and C
POLICE DEPARTMENT,External,STEAMFITTER'S HELPER,STEAM FITTER'S HELPER,00,Below 50K,Building Maintenance/CIV and C
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Evidence and Property Control Specialist,EVIDENCE AND PROPERTY CONTROL,01,Below 50K,OCME-Operations
